XP,YP,ZP,PTN,PVALUE,LSTYLE,SYMBOL,COLOUR
666937.00576851,7904793.25035255,855,1,1,1001,201,7
666867.79923432,7904722.51051898,855,2,1,1001,201,7
666826.48214087,7904659.47511706,855,3,1,1001,201,7
666878.29090672,7904588.03377899,855,4,1,1001,201,7
666862.85925,7904611.22133333,855,5,1,1001,201,7
666887.963,7904567.992,850,6,1,1001,201,7
666987.59787242,7904510.82249818,840,7,1,1001,201,7
667051.962,7904473.891,833.54,8,1,1001,201,7
667194.76795569,7904495.06502806,825,9,1,1001,201,7
667278.378,7904507.462,820,10,1,1001,201,7
667108.901,7904520.354,820,11,1,1001,201,7
667003.196,7904566.024,820,12,1,1001,201,7
666936.936,7904690.587,820,13,1,1001,201,7
666900.567,7904909.844,820,14,1,1001,201,7
666799.506,7905124.856,820,15,1,1001,201,7
666752.844,7905206.89,820,16,1,1001,201,7
666692.966,7905312.157,820,17,1,1001,201,7
666607.237,7905432.081,820,18,1,1001,201,7
666706.20050546,7905360.84465442,810,19,1,1001,201,7
666766.687,7905317.305,803.888,20,1,1001,201,7
666867.38174725,7905267.92745072,795,21,1,1001,201,7
667011.513,7905197.25,782.278,22,1,1001,201,7
667040.31693615,7905198.13653447,780,23,1,1001,201,7
667165.193,7905201.98,770.124,24,1,1001,201,7
667105.55138054,7905224.8976986,765,25,1,1001,201,7
666930.95647579,7905291.98698022,750,26,1,1001,201,7
666911.623,7905299.416,748.339,27,1,1001,201,7
666830.57506434,7905442.92499057,735,28,1,1001,201,7
666800.195,7905496.718,730,29,1,1001,201,7
666777.25433333,7905636.41333333,720,30,1,1001,201,7
666765.784,7905706.261,715,31,1,1001,201,7
666977.748,7905439.197,715,32,1,1001,201,7
667033.539,7905357.176,709.229,33,1,1001,201,7
667087.59224754,7905359.48238298,705,34,1,1001,201,7
667204.812,7905364.484,695.829,35,1,1001,201,7
667262.92121182,7905413.01630264,690,36,1,1001,201,7
667276.489,7905424.348,688.639,37,1,1001,201,7
667263.98081985,7905573.83836612,690,38,1,1001,201,7
667255.93,7905670.057,690.876,39,1,1001,201,7
667256.48756137,7905661.04044735,690,40,1,1001,201,7
667261.624,7905577.977,681.93,41,1,1001,201,7
667245.89024642,7905501.31857593,675,42,1,1001,201,7
667235.476,7905450.578,670.413,43,1,1001,201,7
667187.43,7905428.424,670,44,1,1001,201,7
667132.881,7905512.85,670,45,1,1001,201,7
667108.51,7905780.534,670,46,1,1001,201,7
667076.265,7906027.563,670,47,1,1001,201,7
667053.20984161,7906074.78744635,675,48,1,1001,201,7
666984.04436644,7906216.4607854,690,49,1,1001,201,7
666931.142,7906324.822,701.473,50,1,1001,201,7
666907.97933121,7906353.77514274,705,51,1,1001,201,7
666841.243,7906437.195,715.162,52,1,1001,201,7
666812.23294928,7906476.60491561,720,53,1,1001,201,7
666732.956,7906584.302,733.221,54,1,1001,201,7
666720.05851431,7906599.62369225,735,55,1,1001,201,7
666647.56,7906685.749,745,56,1,1001,201,7
666673.713,7906712.948,745,57,1,1001,201,7
666720.33282461,7906687.00600748,750,58,1,1001,201,7
666803.428,7906640.767,758.912,59,1,1001,201,7
666873.451,7906630.824,754.245,60,1,1001,201,7
666922.13686063,7906623.91095275,751,61,1,1001,201,7
667147.18706383,7906591.95541844,736,62,1,1001,201,7
667250.005,7906577.356,729.147,63,1,1001,201,7
667787.518,7906501.032,693.321,64,1,1001,201,7
667729.603,7906717.743,693.827,65,1,1001,201,7
667487.206,7907338.77,679.789,66,1,1001,201,7
667436.989,7907448.19,681.763,67,1,1001,201,7
667892.076,7907457.091,680.638,68,1,1001,201,7
667889.273,7907597.427,684.806,69,1,1001,201,7
667889.273,7907597.427,684.806,1,2,1001,201,58
667892.076,7907457.091,680.638,2,2,1001,201,58
667436.989,7907448.19,681.763,3,2,1001,201,58
667487.206,7907338.77,679.789,4,2,1001,201,58
667729.603,7906717.743,693.827,5,2,1001,201,58
667787.518,7906501.032,693.321,6,2,1001,201,58
667250.005,7906577.356,729.147,7,2,1001,201,58
667147.18706383,7906591.95541844,736,8,2,1001,201,58
666922.13686063,7906623.91095275,751,9,2,1001,201,58
666873.451,7906630.824,754.245,10,2,1001,201,58
666803.428,7906640.767,758.912,11,2,1001,201,58
666720.33282461,7906687.00600748,750,12,2,1001,201,58
666673.713,7906712.948,745,13,2,1001,201,58
666647.56,7906685.749,745,14,2,1001,201,58
666720.05851431,7906599.62369225,735,15,2,1001,201,58
666732.956,7906584.302,733.221,16,2,1001,201,58
666812.23294928,7906476.60491561,720,17,2,1001,201,58
666841.243,7906437.195,715.162,18,2,1001,201,58
666907.97933121,7906353.77514274,705,19,2,1001,201,58
666931.142,7906324.822,701.473,20,2,1001,201,58
666984.04436644,7906216.4607854,690,21,2,1001,201,58
667053.20984161,7906074.78744635,675,22,2,1001,201,58
667076.265,7906027.563,670,23,2,1001,201,58
667108.51,7905780.534,670,24,2,1001,201,58
667132.881,7905512.85,670,25,2,1001,201,58
667187.43,7905428.424,670,26,2,1001,201,58
667235.476,7905450.578,670.413,27,2,1001,201,58
667245.89024642,7905501.31857593,675,28,2,1001,201,58
667261.624,7905577.977,681.93,29,2,1001,201,58
667256.48756137,7905661.04044735,690,30,2,1001,201,58
667255.93,7905670.057,690.876,31,2,1001,201,58
667263.98081985,7905573.83836612,690,32,2,1001,201,58
667276.489,7905424.348,688.639,33,2,1001,201,58
667262.92121182,7905413.01630264,690,34,2,1001,201,58
667204.812,7905364.484,695.829,35,2,1001,201,58
667087.59224754,7905359.48238298,705,36,2,1001,201,58
667033.539,7905357.176,709.229,37,2,1001,201,58
666977.748,7905439.197,715,38,2,1001,201,58
666765.784,7905706.261,715,39,2,1001,201,58
666777.25433333,7905636.41333333,720,40,2,1001,201,58
666800.195,7905496.718,730,41,2,1001,201,58
666830.57506434,7905442.92499057,735,42,2,1001,201,58
666911.623,7905299.416,748.339,43,2,1001,201,58
666930.95647579,7905291.98698022,750,44,2,1001,201,58
667105.55138054,7905224.8976986,765,45,2,1001,201,58
667165.193,7905201.98,770.124,46,2,1001,201,58
667040.31693615,7905198.13653447,780,47,2,1001,201,58
667011.513,7905197.25,782.278,48,2,1001,201,58
666867.38174725,7905267.92745072,795,49,2,1001,201,58
666766.687,7905317.305,803.888,50,2,1001,201,58
666706.20050546,7905360.84465442,810,51,2,1001,201,58
666607.237,7905432.081,820,52,2,1001,201,58
666692.966,7905312.157,820,53,2,1001,201,58
666752.844,7905206.89,820,54,2,1001,201,58
666799.506,7905124.856,820,55,2,1001,201,58
666900.567,7904909.844,820,56,2,1001,201,58
666936.936,7904690.587,820,57,2,1001,201,58
667003.196,7904566.024,820,58,2,1001,201,58
667108.901,7904520.354,820,59,2,1001,201,58
667278.378,7904507.462,820,60,2,1001,201,58
667194.76795569,7904495.06502806,825,61,2,1001,201,58
667051.962,7904473.891,833.54,62,2,1001,201,58
666987.59787242,7904510.82249818,840,63,2,1001,201,58
666887.963,7904567.992,850,64,2,1001,201,58
666862.85925,7904611.22133333,855,65,2,1001,201,58
666878.29090672,7904588.03377899,855,66,2,1001,201,58
666826.48214087,7904659.47511706,855,67,2,1001,201,58
666867.79923432,7904722.51051898,855,68,2,1001,201,58
666937.00576851,7904793.25035255,855,69,2,1001,201,58
